Key,Value
CoreScripts.TextChat.Mute.Error.CannotMuteSelf,Du kannst dich nicht selbst stummschalten.
CoreScripts.TextChat.Mute.Error.MultipleMatches,Die folgenden Nutzer haben diesen Anzeigenamen: {RBX_LIST_NAMES}
CoreScripts.TextChat.Mute.Error.TargetDoesNotExist,"Nutzer ""{RBX_NAME}"" existiert nicht."
CoreScripts.TextChat.Mute.Help.Description,/mute <Nutzer> : Schaltet Nutzer stumm
CoreScripts.TextChat.Mute.Success,"Nutzer ""{RBX_NAME}"" wurde stummgeschaltet."
CoreScripts.TextChat.Notification.Friend.Joined,Deine Connection {RBX_NAME} ist der Experience beigetreten.
CoreScripts.TextChat.Notification.Team.Joined,Du bist nun Mitglied im Team „{RBX_NAME}“.
CoreScripts.TextChat.Notification.WhisperChat.Created,Du unterhältst dich nun privat mit {RBX_NAME}.
CoreScripts.TextChat.TeamChat.Error.NotOnTeam,"Teamchat ist nur verfügbar, wenn du Mitglied eines Teams bist."
CoreScripts.TextChat.TeamChat.Help.Description,/team <Nachricht> oder /t <Nachricht> : Sendet eine Teamnachricht an Mitglieder deines Teams
CoreScripts.TextChat.TeamChat.PrefixText,[Team]
CoreScripts.TextChat.Unmute.Help.Description,/unmute <Nutzer> : Hebt Stummschaltung von Nutzer auf
CoreScripts.TextChat.Unmute.Success,"Nutzer ""{RBX_NAME}"" ist nicht mehr stummgeschaltet."
CoreScripts.TextChat.Version.Success,{RBX_VERSION}
CoreScripts.TextChat.Whisper.Error.CannotChat,Du kannst mit dieser Person nicht chatten.
CoreScripts.TextChat.Whisper.Help.Description,/whisper <Nutzer> oder /w <Nutzer> : Öffnet privaten Nachrichtenkanal mit Nutzern
CoreScripts.TextChat.WhisperChat.PrefixText.Incoming,[Von {RBX_NAME}]
CoreScripts.TextChat.WhisperChat.PrefixText.Outgoing,[An {RBX_NAME}]
CoreScripts.TopBar.Leaderboard,Bestenliste
CoreScripts.TopBar.Emotes,Emotes
CoreScripts.TopBar.Inventory,Inventar
CoreScripts.TopBar.Leave,Verlassen
CoreScripts.TopBar.Chat,Chat
CoreScripts.TopBar.QuickMenu,Schnellmenü
CoreScripts.TopBar.Menu,Menü
CoreScripts.TopBar.Respawn,Charakter respawnen
CoreScripts.TopBar.Back,Zurück
CoreScripts.TopBar.Screenshot,Screenshot
Feature.SettingsHub.Label.LoadingFriendsListFailed,Ein Fehler ist aufgetreten. Bitte versuche es später erneut.
Feature.SettingsHub.Action.CancelSearch,Abbrechen
Feature.SettingsHub.Label.DontLeaveButton,Nicht verlassen
Feature.SettingsHub.Action.InviteFriend,Einladen
Feature.SettingsHub.Heading.InviteFriends,Freunde einladen
Feature.SettingsHub.Label.Invited,Eingeladen
Feature.SettingsHub.Label.LeaveButton,Verlassen
Feature.SettingsHub.Label.Moderated,Moderiert
Feature.SettingsHub.Label.InviteSearchNoResults,Keine Suchergebnisse
Feature.SettingsHub.Label.SearchForFriendsPlaceholder,Nach Connections suchen
Feature.SettingsHub.Label.Sending,Wird gesendet
Feature.SettingsHub.Action.InviteFriendsBack,Zurück
Feature.SettingsHub.Message.InviteToGameTitle,Komm mit mir zu {PLACENAME}
Feature.SettingsHub.TouchMovementMode.DPad,Steuerkreuz
Feature.SettingsHub.Video.Off,Aus
Feature.SettingsHub.Video.SystemDefault,Systemstandard
Feature.SettingsHub.Video.VideoCamera,Videokamera
Feature.SettingsHub.Default.DynamicThumbstick,Standard (Dynamischer Thumbstick)
Feature.SettingsHub.DefaultKeyboard,Standard (Tastatur)
Feature.SettingsHub.Heading.Capture,Aufnahme
Feature.SettingsHub.Label.CaptureDescription2,Aufgenommene Fotos werden auf deinem Gerät gespeichert.
Feature.SettingsHub.Label.ChooseOne,Wähle eine Option
InGame.CommonUI.Title.Warning,Warnung
InGame.CommonUI.Title.Error,Fehler
InGame.CommonUI.Button.Retry,Erneut versuchen
InGame.CommonUI.Button.Ok,Okay
InGame.CommonUI.Title.Alert,Warnung
InGame.CommonUI.Label.Default,Standard
InGame.CommonUI.Label.Custom,Individualisiert
InGame.CommonUI.Label.PossiblyCustom,Möglicherweise benutzerdefiniert
InGame.CommonUI.Label.CustomOld,Benutzerdefiniert alt
InGame.ConnectionError.DisconnectCloudEditKick,Verbindung zu Team Create verloren. Bitte wieder verbinden. 
InGame.ConnectionError.DisconnectWrongVersion,Deine Version von Roblox ist eventuell veraltet. Bitte aktualisiere Roblox und versuche es erneut.
InGame.ConnectionError.TeleportFailure,Teleport ist aufgrund eines unerwarteten Fehlers fehlgeschlagen. Bitte versuche es erneut.
InGame.ConnectionError.DisconnectNewSecurityKeyMismatch,Die Verbindung ist aufgrund eines Fehlers abgebrochen.
InGame.ConnectionError.TeleportGameFull,Server ist voll. Bitte versuche es später erneut oder verwende einen anderen Server.
InGame.ConnectionError.DisconnectPlayerless,Der Server wurde während deines Verbindungsversuchs heruntergefahren. Bitte versuche es erneut.
InGame.ConnectionError.TeleportGameNotFound,Der Zielort kann nicht gefunden werden. Bitte überprüfe ihn und versuche es erneut.
InGame.ConnectionError.DisconnectErrors,Die Verbindung ist aufgrund eines unbekannten Fehlers abgebrochen. Bitte wieder verbinden.
InGame.ConnectionError.DisconnectDuplicateTicket,Die Verbindung ist aufgrund eines Fehlers abgebrochen. Mehrere Verbindungen desselben Kontos erkannt.
InGame.ConnectionError.DisconnectBadhash,Die Verbindung ist aufgrund eines Fehlers abgebrochen.
