Key,Value
CoreScripts.TextChat.Mute.Success,L'utente '{RBX_NAME}' è stato mutato.
CoreScripts.TextChat.Notification.Friend.Joined,Il tuo contatto {RBX_NAME} si è unito all'esperienza.
CoreScripts.TextChat.Notification.Team.Joined,"Ora sei nella squadra ""{RBX_NAME}""."
CoreScripts.TextChat.Notification.WhisperChat.Created,Ora stai chattando in privato con {RBX_NAME}.
CoreScripts.TextChat.TeamChat.Error.NotOnTeam,Non puoi fare una chat di squadra se non sei in una squadra.
CoreScripts.TextChat.TeamChat.Help.Description,/team <message> o /t <message> : invia un messaggio di squadra ai membri del tuo team
CoreScripts.TextChat.TeamChat.PrefixText,[Team]
CoreScripts.TextChat.Unmute.Help.Description,/unmute <user>: restituisci la parola a utente
CoreScripts.TextChat.Unmute.Success,"Hai restituito la parola al giocatore ""{RBX_NAME}""."
CoreScripts.TextChat.Version.Success,{RBX_VERSION}
CoreScripts.TextChat.Whisper.Error.CannotChat,Non puoi chattare con questo giocatore.
CoreScripts.TextChat.Whisper.Help.Description,/whisper <user> o /w <user>: apre il canale di messaggi privati ​​con un utente
CoreScripts.TextChat.WhisperChat.PrefixText.Incoming,[Da {RBX_NAME}]
CoreScripts.TextChat.WhisperChat.PrefixText.Outgoing,[A {RBX_NAME}]
CoreScripts.TopBar.Leaderboard,Classifica
CoreScripts.TopBar.Emotes,Emoticon
CoreScripts.TopBar.Inventory,Inventario
CoreScripts.TopBar.Leave,Esci
CoreScripts.TopBar.Chat,Chat
CoreScripts.TopBar.QuickMenu,Menu rapido
CoreScripts.TopBar.Menu,Menu
CoreScripts.TopBar.Respawn,Rigenera il personaggio
CoreScripts.TopBar.Back,Indietro
CoreScripts.TopBar.Screenshot,Immagine dello schermo
Feature.SettingsHub.Label.LoadingFriendsListFailed,Si è verificato un errore. Riprova più tardi.
Feature.SettingsHub.Action.CancelSearch,Annulla
Feature.SettingsHub.Label.DontLeaveButton,Non uscire
Feature.SettingsHub.Action.InviteFriend,Invita
Feature.SettingsHub.Heading.InviteFriends,Invita amici
Feature.SettingsHub.Label.Invited,Invitato
Feature.SettingsHub.Label.LeaveButton,Esci
Feature.SettingsHub.Label.Moderated,Moderato
Feature.SettingsHub.Label.InviteSearchNoResults,Nessun risultato trovato
Feature.SettingsHub.Label.SearchForFriendsPlaceholder,Cerca contatti
Feature.SettingsHub.Label.Sending,Invio...
Feature.SettingsHub.Action.InviteFriendsBack,Indietro
Feature.SettingsHub.Message.InviteToGameTitle,Raggiungimi qui: {PLACENAME}
Feature.SettingsHub.TouchMovementMode.DPad,Croce direzionale
Feature.SettingsHub.Video.Off,Off
