Key,Value
Authentication.Login.Action.QuickSignIn,
Authentication.Login.Button.CloseAndSwitchPlatformAccount,"Roblox verlassen, um dich bei einem anderen {platformAccountName}-Konto anzumelden"
Authentication.Login.Button.UseDifferentRobloxAccount,Ein anderes Roblox-Konto verwenden
Authentication.Login.Error.PasskeyOnlyAccount,"Für dein Konto ist nur ein Passkey für die Anmeldung eingerichtet. Versuche, dich mit deinem Passkey anzumelden, oder stelle dein Konto wieder her."
Authentication.Login.Error.PlatformAccountConnectionFailure,Das Plattform-Konto kann nicht verifiziert werden. Bitte versuche es später erneut.
Authentication.Login.Heading.IncompatibleAccounts,Konten nicht kompatibel
Authentication.Login.Label.LearnMore,Mehr erfahren
Authentication.Login.LinkIllegalChildAccountLinking,Dieses Roblox-Konto konnte nicht mit einem Xbox-Kinderkonto verknüpft werden. Bitte versuche es mit einem anderen Konto oder überprüfe deine Einstellungen.
Authentication.Login.Response.AlreadyLinked,Dieses Roblox-Konto ist bereits mit einem anderen Konto auf {platform} verknüpft. Bitte versuche dich mit einem anderen Roblox-Konto anzumelden.
Authentication.Login.Response.IncorrectEmailOrPassword,E-Mail-Adresse oder Passwort falsch.
Authentication.Login.Response.IncorrectOtpCode,Dein Code ist falsch. Bitte überprüfe ihn und versuche es erneut.
Authentication.Login.Response.IncorrectPhoneOrPassword,Telefonnummer oder Passwort falsch.
Authentication.Login.Response.IncorrectUsernamePassword,Falscher Benutzername oder falsches Passwort.
Authentication.Login.Response.InvalidPasskeyCredential,"Die Anmeldung mit diesem Passkey ist nicht möglich. Um wieder Zugang zu erhalten, wähle ""Passwort oder Benutzernamen vergessen?"" aus."
Authentication.Login.Response.MoreThanOneUsername,Deine E-Mail-Adresse ist mehr als 1 Benutzernamen zugeordnet. Melde dich bitte mit deinem Benutzernamen an.
Authentication.Login.Response.PlatformAlreadyLinked,Dieses {platform}-Konto ist bereits mit einem anderen Roblox-Konto verknüpft. Bitte melde dich mit dem verknüpften Roblox-Konto an.
Authentication.Login.Response.RelinkingFreeze,Dieses Roblox-Konto wurde in den letzten 90 Tagen bereits mit einem anderen Konto auf {platform} verknüpft. Bitte versuche dich mit einem anderen Roblox-Konto anzumelden.
Authentication.Login.Response.Require2FA,"Zweistufige Verifizierung wird auf Konsolen nicht unterstützt. Bitte folge den Anweisungen rechts, um dich sicher anzumelden."
Authentication.Login.Response.Require2FAGeneric,"Eine zusätzlich erforderliche Verifizierung wird auf diesem Gerät nicht unterstützt. Bitte folge den Anweisungen rechts, um dich sicher anzumelden."
Authentication.Login.Response.ServiceUnavailable,Dienst nicht verfügbar. Bitte versuche es später erneut.
Authentication.Login.Response.SomethingWentWrong,
Authentication.Login.Response.UnknownErrorLoginWithDifferentMethod,"Etwas ist schiefgelaufen. Bitte versuche, dich auf eine andere Weise anzumelden."
Authentication.Login.Response.UnverifiedEmailLoginWithUsername,Deine E-Mail-Adresse ist nicht verifiziert. Melde dich bitte mit deinem Benutzernamen an.
Authentication.Login.WeChat.AntiAddictionText,"Boykottiere schlechte Experiences und lehne Raubkopien ab. Sei dir über Selbstverteidigung und Täuschungsversuche im Klaren. Der Besuch von Experiences ist gut für dein Gehirn, aber zu viel des Guten kann deine Gesundheit beeinträchtigen. Teile dir deine Zeit gut ein und führe einen gesunden Lebensstil."
Authentication.SignUp.Button.RetryLogIn,Erneut anmelden
Authentication.SignUp.Description.AccountAlreadyLinked,"Dein {platformAccountName}-Konto ist bereits mit einem Roblox-Konto verlinkt. Bitte versuche erneut, dich anzumelden."
Authentication.SignUp.Description.VerificationLinkingText.VariableButtonName,"Dein Roblox-Konto wird mit deinem {platform}-Konto verknüpft. Du kannst die Verknüpfung jederzeit in den Einstellungen aufheben. Es kann sein, dass es etwas dauert, bis du eine Verknüpfung mit einem anderen {platform}-Konto herstellen kannst. Durch das Anklicken von {ctaButton} erklärst du dich mit den Nutzungsbedingungen einschließlich der Schiedsklausel einverstanden und erkennst die Datenschutzrichtlinie an."
Authentication.SignUp.Heading.CountryCodeSelector,Land wählen
Authentication.SignUp.Heading.RetryLogIn,
Authentication.SignUp.Response.ErrorTryAgain,
Authentication.TwoStepVerification.Action.GoToSecurity,
Authentication.TwoStepVerification.Label.TwoStepRequired,"Zweistufige Verifizierung ist erforderlich, um weitere Transaktionen zu tätigen. Gehe zu Einstellungen > Sicherheit, um die Einrichtung der zweistufigen Verifizierung abzuschließen."
Authentication.TwoStepVerification.Response.TooManyAttempts,Zu viele Versuche. Bitte versuche es später erneut.
Authentication.TwoStepVerification.Title.VerificationRequired,Verifizierung erforderlich
AvatarGeneration.SelfieConsent.AgreeButton,Zustimmen
AvatarGeneration.SelfieConsent.BodyTextLink,"Durch das Hochladen eines Bildes bestätigst du, dass du das Recht hast, es zu verwenden, und du erklärst dich damit einverstanden, dass Roblox ein Gen-KI-Rendering davon sammelt, verwendet und mit anderen Creator für die Erstellung von Avataren teilt."
AvatarGeneration.SelfieConsent.CancelButton,
AvatarGeneration.SelfieConsent.PrivacyLinkText,
AvatarGeneration.SelfieConsent.QRBody,"{fontStart}Verwende dein Handy, um den QR-Code zu scannen und ein Selfie zu machen.{fontEnd}"
AvatarGeneration.SelfieConsent.QRErrorBody,"{fontStart}Starte erneut im Spiel oder in der Experience, um einen neuen QR-Code zu erhalten.{fontEnd}"
AvatarGeneration.SelfieConsent.QRErrorTitle,{fontStart}Die Sitzung ist abgelaufen{fontEnd}
AvatarGeneration.SelfieConsent.QRTitle,"{fontStart}Scanne den QR-Code, um loszulegen{fontEnd}"
AvatarGeneration.SelfieConsent.Title,"Bild verwenden, um meinen Avatar zu erstellen."
Common.GameSorts.Label.Favorites,Favoriten
Common.Presence.Label.InExperience,In einer Experience
Common.Presence.Label.Invisible,Unsichtbar
Common.Presence.Label.Offline,Offline
Common.Presence.Label.Online,Online
Common.Presence.Label.RobloxStudio,Roblox Studio
Common.UGCValidation.ErrorLabel.AQSFail_AnimationTooLong,Die Animation ist zu lang ({duration} Sekunden). Emote-Animationen dürfen höchstens {maxLength} Sekunden lang sein.
Common.UGCValidation.ErrorLabel.AQSFail_AnimationTooShort,Die Animation ist zu kurz ({duration} Sekunden). Emote-Animationen müssen länger als {minLength} Sekunden sein.
Common.UGCValidation.ErrorLabel.AQSFail_MeshIslandML,"Dein Körper enthält kleine, nicht verbundene Mesh-Komponenten (Mesh-Inseln). Bitte entferne die schwebende Geometrie und stelle sicher, dass alle Mesh-Teile korrekt verbunden sind."
Common.UGCValidation.ErrorLabel.AQSFail_TooManyDisconnectedComponents,"Objektqualität: {partName} hat {num_disconnected_components} nicht verbundene Komponenten, was das Maximum von {max_disconnected_components} überschreitet."
