Key,Value
Authentication.Login.Heading.IncompatibleAccounts,حسابات غير متوافقة
Authentication.Login.Label.LearnMore,اعرف المزيد
Authentication.Login.LinkIllegalChildAccountLinking,لا يمكن ربط هذا الحساب على منصّة Roblox بحساب طفل على Xbox. يُرجى تجربة حساب آخر أو التحقُّق من إعداداتك.
Authentication.Login.Response.AlreadyLinked,حساب Roblox هذا مرتبط بالفعل مختلف على حساب {platform}. الرجاء محاولة تسجيل الدخول بحساب Roblox آخر.
Authentication.Login.Response.IncorrectEmailOrPassword,البريد الإلكتروني أو كلمة المرور غير صحيحة.
Authentication.Login.Response.IncorrectOtpCode,الرمز الذي أدخلته غير صحيح. الرجاء التأكد منه والمحاولة مجددًا.
Authentication.Login.Response.IncorrectPhoneOrPassword,الهاتف أو كلمة المرور غير صحيحة.
Authentication.Login.Response.IncorrectUsernamePassword,اسم المستخدم أو كلمة المرور غير صحيحة.
Authentication.Login.Response.InvalidPasskeyCredential,"تعذّر تسجيل الدخول باستخدام مفتاح المرور الذي أدخلته. لاستعادة الوصول، انتقل إلى ""نسيت كلمة المرور أو اسم المستخدم."""
Authentication.Login.Response.MoreThanOneUsername,هذا البريد الإلكتروني مرتبط بأكثر من اسم مستخدم واحد. الرجاء تسجيل الدخول باستخدام اسم المستخدم الخاص بك.
Authentication.Login.Response.PlatformAlreadyLinked,حساب منصّة {platform} هذا مرتبط بالفعل بحساب آخر على منصّة Roblox. يُرجى تسجيل الدخول باستخدام حساب منصّة Roblox المرتبط بهذا الحساب.
Authentication.Login.Response.RelinkingFreeze,حساب Roblox هذا تم ربطه حساب آخر على {platform} خلال 90 يومًا الماضية. الرجاء محاولة تسجيل الدخول بحساب Roblox آخر.
Authentication.Login.Response.Require2FA,التحقق بخطوتين غير مدعوم على الكونسول. الرجاء اتباع التعليمات المرفقة على جهة اليمين لتسجيل الدخول بشكل آمن.
Authentication.Login.Response.Require2FAGeneric,عملية التحقق الإضافية المطلوبة غير مدعومة على هذا الجهاز. يُرجى اتّباع التعليمات الموضحة على جهة اليمين لتسجيل الدخول بشكل آمن.
Authentication.Login.Response.ServiceUnavailable,الخدمة غير متوفرة. الرجاء المحاولة لاحقاً.
Authentication.Login.Response.SomethingWentWrong,حدث خطأ ما. الرجاء المحاولة لاحقًا.
Authentication.Login.Response.UnknownErrorLoginWithDifferentMethod,حدث خطأ ما. الرجاء تجربة طريقة أخرى لتسجيل الدخول.
Authentication.Login.Response.UnverifiedEmailLoginWithUsername,لم يتم التحقق من بريدك الإلكتروني. الرجاء تسجيل الدخول باسم المستخدم الخاص بك.
Authentication.Login.WeChat.AntiAddictionText,ابتعد عن التجارب السيئة وارفض المشاركة في التجارب المقرصنة. ابقَ متيقظًا واحذر الخداع. إن المشاركة في بعض التجارب مفيدة لعقلك، لكن الإفراط فيها يمكن أن يضر بصحتك. لذلك نوصيك بإدارة وقتك بالمفيد النافع واتباع نمط حياة سليم.
Authentication.SignUp.Button.RetryLogIn,إعادة محاولة تسجيل الدخول
Authentication.SignUp.Description.AccountAlreadyLinked,حساب على منصة {platformAccountName} مرتبط بالفعل بحساب على منصة Roblox. يُرجى محاولة تسجيل الدخول مرة أخرى.
Authentication.SignUp.Description.VerificationLinkingText.VariableButtonName,سيتم ربط حسابك في منصة Roblox بحسابك على حساب {platform}. يمكنك إلغاء الربط من شاشة الإعدادات في أي وقت. قد تكون هناك فترة انتظار قبل أن تتمكن من ربط الحساب بحساب آخر على حساب {platform}. من خلال النقر على {ctaButton}، أنت توافق على شروط الاستخدام بما في ذلك شرط التحكيم وأنت تُقِر بسياسة الخصوصية.
Authentication.SignUp.Heading.CountryCodeSelector,حدد البلد
Authentication.SignUp.Heading.RetryLogIn,
