Key,Value
Application.Settings.VR.Comfort.Profile.Option.Default,Par défaut
Application.Settings.VR.Comfort.Profile.Option.Expert,Expert
Application.Settings.VR.Comfort.Profile.Title,Profil de confort
Application.Settings.VR.Comfort.SafetyBubbleMode.Description,Décide qui peut s'approcher de toi sans avoir à s'effacer
Application.Settings.VR.Comfort.SafetyBubbleMode.Option.Anyone,Tout le monde
Application.Settings.VR.Comfort.SafetyBubbleMode.Option.NoOne,Personne
Application.Settings.VR.Comfort.SafetyBubbleMode.Option.OnlyFriends,Seulement les amis
Application.Settings.VR.Comfort.SafetyBubbleMode.Title,Bulle de sécurité
Application.Settings.VR.Comfort.SteppedRotationEnabled.Description,Paramètre de locomotion qui fait tourner la vue selon des angles fixes et incrémentiels au lieu d'un mouvement continu.
Application.Settings.VR.Comfort.SteppedRotationEnabled.Title,Rotation progressive
Application.Settings.VR.Comfort.ThirdPersonFixedCamEnabled.Description,"Prévient le mal des transports causé par les mouvements fluides de la caméra. Celle-ci reste immobile pendant que tu te déplaces, puis se repositionne instantanément derrière toi. Fonctionne uniquement en vue à la troisième personne."
Application.Settings.VR.Comfort.ThirdPersonFixedCamEnabled.Title,Caméra confort à la 3e personne
Application.Settings.VR.Comfort.Title,Paramètres de confort
Application.Settings.VR.Comfort.VignetteEnabled.Description,Paramètre de confort qui réduit ton champ de vision pendant les mouvements pour prévenir ou atténuer le mal des transports.
Application.Settings.VR.Comfort.VignetteEnabled.Title,Vignette de confort
Application.Settings.VRAccountSettingsExplanation,"Pour accéder à votre confidentialité, aux contrôles de sécurité et à d'autres informations, consulter le site web ou un appareil associé."
Application.Settings.VRAccountSettingsSubtitle,Visiter le Web ou l'appareil compagnon
Application.Settings.VolumeSliderDescription,"Contrôle le niveau sonore général de Roblox, y compris les effets des menus, le son du jeu et le chat vocal."
Authentication.AccountPicker.Button.CreateAccount,Créer un compte
Authentication.AccountPicker.Button.SignIntoAnotherAccount,Se connecter à un autre compte
Authentication.AccountPicker.Label.AllAccounts,Tous les comptes
Authentication.AccountPicker.Label.Manage,Gérer
Authentication.AccountPicker.Label.ManageAccounts,Gérer les comptes
Authentication.AccountPicker.Label.RemoveAccount,Supprimer le compte ?
Authentication.AccountPicker.Label.RemoveAccountCancel,
Authentication.AccountPicker.Label.RemoveAccountDescription,"Tu ne verras plus ce compte sur cet appareil, à moins que tu ne te connectes à nouveau."
Authentication.AccountPicker.Label.RemoveAccountRemove,Supprimer
Authentication.AccountPicker.Label.SignedOut,
Authentication.AccountRecovery.Action.AddAPasskey,"Oui, ajouter un nouveau passkey"
Authentication.AccountRecovery.Action.Continue,
Authentication.AccountRecovery.Action.Delete,Retirer
Authentication.AccountRecovery.Action.DeleteAll,Supprimer les modifications
Authentication.AccountRecovery.Action.DontDeleteCredentials,Tout conserver
Authentication.AccountRecovery.Action.Next,Suivant
Authentication.AccountRecovery.Action.Ok,
Authentication.AccountRecovery.Action.ResetPassword,Réinitialiser le mot de passe 
Authentication.AccountRecovery.Action.Save,Garder
Authentication.AccountRecovery.Action.SendCode,M'envoyer un code
Authentication.AccountRecovery.Action.SkipAddingPasskey,"Non, ignorer cette étape"
Authentication.AccountRecovery.Action.UpdatePassword,Mettre à jour mot de passe
Authentication.AccountRecovery.Action.UseAnotherMethod,Employer une autre méthode
Authentication.AccountRecovery.Action.UseBackupCode,Utiliser un code de secours
Authentication.AccountRecovery.Action.UseEmail,E-mail
Authentication.AccountRecovery.Action.UseEmailInstead,Utiliser cette adresse e-mail
Authentication.AccountRecovery.Action.UsePhone,Utiliser le téléphone
Authentication.AccountRecovery.Action.UsePhoneInstead,Utiliser plutôt le téléphone
Authentication.AccountRecovery.Action.UseUsernameEmailInstead,Utiliser le nom d'utilisateur ou l'email à la place
Authentication.AccountRecovery.Description.AccountSecuredConfirmation,Toutes les modifications ont été supprimées.
Authentication.AccountRecovery.Description.CannotRecoverAccount,"Pour ta sécurité, une deuxième méthode de vérification distincte est nécessaire pour récupérer ton compte pour lequel la vérification en 2 étapes a été activée. Ce compte ne dispose pas d'une méthode de secours disponible permettant une récupération sécurisée. Essaie de retrouver l'accès à ta méthode principale de vérification en 2 étapes ou utilise un code de secours pour ignorer la procédure de vérification en 2 étapes."
Authentication.AccountRecovery.Description.ChooseAccount,Choisis le compte que tu veux récupérer.
Authentication.AccountRecovery.Description.CreateNewPassword,Crée un mot de passe fort et différent de ton ancien mot de passe.
Authentication.AccountRecovery.Description.CreateNewPasswordAddEmail,Crée un nouveau mot de passe et ajoute un email pour t'aider à protéger ton compte à l'avenir.
Authentication.AccountRecovery.Description.DeviceDoesNotSupportPasskey,"Tu as adhéré au programme de protection renforcée. Pour assurer la sécurité de ton compte, tu auras besoin d'un passkey ou d'une clé de sécurité pour te connecter. Cet appareil ne prend pas en charge les passkeys, la connexion à cet appareil peut donc s'avérer difficile. À l'avenir, tu peux utiliser la connexion rapide pour ouvrir ta session à l'aide d'un autre appareil connecté."
Authentication.AccountRecovery.Description.EmailCodeSent,"Si un compte Roblox est associé à cette adresse e-mail, tu recevras un code de vérification. Vérifie tous tes dossiers, y compris les spams."
Authentication.AccountRecovery.Description.EmailCodeSentForUser,"Nous venons d'envoyer un code de vérification à 6 chiffres à l'adresse e-mail que tu as fournie, si elle est associée à ton compte. Vérifie tous tes dossiers, y compris les spams."
Authentication.AccountRecovery.Description.EmailUnavailableInfo,"Certaines adresses e-mail peuvent apparaître comme indisponibles, car elles ont été modifiées à la suite d'un changement d'âge. Néanmoins, ton adresse reste utilisable pour récupérer ton compte."
Authentication.AccountRecovery.Description.EnhancedProtectionAddPasskey,"Tu as adhéré au programme de protection renforcée. Pour assurer la sécurité de ton compte, tu auras besoin d'un passkey ou d'une clé de sécurité pour te connecter.{lineBreak}{lineBreak}Si tu utilises ton appareil personnel, nous te recommandons de configurer un nouveau passkey dès maintenant. Cela facilitera la connexion sur cet appareil à l'avenir. Si tu utilises un appareil partagé ou public, ignore cette étape."
Authentication.AccountRecovery.Description.EnterABackupCode,"Maintenant, saisis le code de secours enregistré."
Authentication.AccountRecovery.Description.EnterContactMethodAssociatedWithYourAccount,"Saisis un email ou un numéro de téléphone qui peut être associé à ton compte. Si tu as déjà effectué un achat, tu peux essayer ton email de facturation."
