Key,Value
Application.Settings.VR.Comfort.SafetyBubbleMode.Description,フェードアウトしないで近づける人を設定
Application.Settings.VR.Comfort.SafetyBubbleMode.Option.Anyone,全員
Application.Settings.VR.Comfort.SafetyBubbleMode.Option.NoOne,なし
Application.Settings.VR.Comfort.SafetyBubbleMode.Option.OnlyFriends,友達だけ
Application.Settings.VR.Comfort.SafetyBubbleMode.Title,安全バブル
Application.Settings.VR.Comfort.SteppedRotationEnabled.Description,連続的な動きではなく、特定の角度で段階的に表示を回転させるロコモーション設定。
Application.Settings.VR.Comfort.SteppedRotationEnabled.Title,ステップ回転
Application.Settings.VR.Comfort.ThirdPersonFixedCamEnabled.Description,カメラのスムーズな動きによるVR酔い防止を防ぐのに役立ちます。プレイヤーが動いてもカメラは動かず、その後すぐにプレイヤーの後ろに移動します。三人称視点でのみ有効です。
Application.Settings.VR.Comfort.ThirdPersonFixedCamEnabled.Title,3人称視点VR酔い防止カメラ
Application.Settings.VR.Comfort.Title,VR酔い防止設定
Application.Settings.VR.Comfort.VignetteEnabled.Description,VR酔いを防止または軽減するために、動作中の視野を狭める設定。
Application.Settings.VR.Comfort.VignetteEnabled.Title,VR酔い防止Vignette
Application.Settings.VRAccountSettingsExplanation,プライバシー、セキュリティ操作などにアクセスするにはウェブまたはコンパニオンデバイスにアクセスしてください。
Application.Settings.VRAccountSettingsSubtitle,ウェブまたはコンパニオンデバイスへ
Application.Settings.VolumeSliderDescription,メニューのエフェクト、ゲームの音響、ボイスチャットなど、Robloxでの全体的な音量をコントロール。
Authentication.AccountPicker.Button.CreateAccount,アカウントを作成
Authentication.AccountPicker.Button.SignIntoAnotherAccount,別のアカウントにログイン
Authentication.AccountPicker.Label.AllAccounts,すべてのアカウント
Authentication.AccountPicker.Label.Manage,管理
Authentication.AccountPicker.Label.ManageAccounts,アカウントを管理
Authentication.AccountPicker.Label.RemoveAccount,アカウントを削除しますか
Authentication.AccountPicker.Label.RemoveAccountCancel,
Authentication.AccountPicker.Label.RemoveAccountDescription,もう一度サインインしない限り、このアカウントはこのデバイス上で表示されなくなります。
Authentication.AccountPicker.Label.RemoveAccountRemove,削除する
Authentication.AccountPicker.Label.SignedOut,ログアウト済み
Authentication.AccountRecovery.Action.AddAPasskey,はい、新しいパスキーを追加します
Authentication.AccountRecovery.Action.Continue,
Authentication.AccountRecovery.Action.Delete,削除
Authentication.AccountRecovery.Action.DeleteAll,変更を削除
Authentication.AccountRecovery.Action.DontDeleteCredentials,すべて維持
Authentication.AccountRecovery.Action.Next,次へ
Authentication.AccountRecovery.Action.Ok,了解
Authentication.AccountRecovery.Action.ResetPassword,パスワードのリセット
Authentication.AccountRecovery.Action.Save,維持
Authentication.AccountRecovery.Action.SendCode,コードを受け取る
Authentication.AccountRecovery.Action.SkipAddingPasskey,いいえ、この手順をスキップします
Authentication.AccountRecovery.Action.UpdatePassword,パスワードを更新
Authentication.AccountRecovery.Action.UseAnotherMethod,他の方法を使用
Authentication.AccountRecovery.Action.UseBackupCode,バックアップコードを使用
Authentication.AccountRecovery.Action.UseEmail,メールアドレスを使用
Authentication.AccountRecovery.Action.UseEmailInstead,
Authentication.AccountRecovery.Action.UsePhone,電話番号を使用
Authentication.AccountRecovery.Action.UsePhoneInstead,
Authentication.AccountRecovery.Action.UseUsernameEmailInstead,ユーザーネームまたはメールアドレスを使用
Authentication.AccountRecovery.Description.AccountSecuredConfirmation,すべての変更が削除されました。
Authentication.AccountRecovery.Description.CannotRecoverAccount,セキュリティのため、2段階認証を有効化したアカウントを復元するには、2つ目の異なる認証方法が必要です。このアカウントには、安全な復元に使用できるバックアップ方法がありません。主要な2段階認証へのアクセスを再取得するか、バックアップコードを使用して2段階認証の手続きをスキップしてください。
Authentication.AccountRecovery.Description.ChooseAccount,回復したいアカウントを選択してください。
Authentication.AccountRecovery.Description.CreateNewPassword,古いパスワードとは違う強力なパスワードを作成してください。
Authentication.AccountRecovery.Description.CreateNewPasswordAddEmail,新しいパスワードを作成し、今後アカウントを保護するためにメールアドレスを追加してください。
