Key,Value
Application.Settings.VR.Comfort.ThirdPersonFixedCamEnabled.Description,"Helps prevent motion sickness from smooth camera motion. The camera stays put as you move, then instantly snaps behind you. Only works in 3rd person."
Application.Settings.VR.Comfort.ThirdPersonFixedCamEnabled.Title,3rd Person Comfort Camera
Application.Settings.VR.Comfort.Title,Comfort Settings
Application.Settings.VR.Comfort.VignetteEnabled.Description,Comfort setting that reduces your field of view during movement to prevent or ease motion sickness.
Application.Settings.VR.Comfort.VignetteEnabled.Title,Comfort Vignette
Application.Settings.VRAccountSettingsExplanation,"To access your Privacy, Security Controls, and more please visit the Web or a companion device."
Application.Settings.VRAccountSettingsSubtitle,Visit Web or Companion device
Application.Settings.VolumeSliderDescription,"Control the overall sound level of Roblox, including menu effects, game sound, and voice chat."
Authentication.AccountPicker.Button.CreateAccount,Create account
Authentication.AccountPicker.Button.SignIntoAnotherAccount,Sign in to another account
Authentication.AccountPicker.Label.AllAccounts,All accounts
Authentication.AccountPicker.Label.Manage,Manage
Authentication.AccountPicker.Label.ManageAccounts,Manage accounts
Authentication.AccountPicker.Label.RemoveAccount,Remove account?
Authentication.AccountPicker.Label.RemoveAccountCancel,
Authentication.AccountPicker.Label.RemoveAccountDescription,"You won’t see this account on this device anymore, unless you sign in again."
Authentication.AccountPicker.Label.RemoveAccountRemove,Remove
Authentication.AccountPicker.Label.SignedOut,Signed out
Authentication.AccountRecovery.Action.AddAPasskey,"Yes, add a new passkey"
Authentication.AccountRecovery.Action.Continue,
Authentication.AccountRecovery.Action.Delete,
Authentication.AccountRecovery.Action.DeleteAll,Remove changes
Authentication.AccountRecovery.Action.DontDeleteCredentials,Keep all
Authentication.AccountRecovery.Action.Next,Next
Authentication.AccountRecovery.Action.Ok,Ok
Authentication.AccountRecovery.Action.ResetPassword,Reset password
Authentication.AccountRecovery.Action.Save,Keep
Authentication.AccountRecovery.Action.SendCode,Send me a code
Authentication.AccountRecovery.Action.SkipAddingPasskey,"No, skip this step"
Authentication.AccountRecovery.Action.UpdatePassword,Update password
Authentication.AccountRecovery.Action.UseAnotherMethod,Use another method
Authentication.AccountRecovery.Action.UseBackupCode,Use backup code
Authentication.AccountRecovery.Action.UseEmail,Use email
Authentication.AccountRecovery.Action.UseEmailInstead,Use email instead
Authentication.AccountRecovery.Action.UsePhone,Use phone
Authentication.AccountRecovery.Action.UsePhoneInstead,Use phone instead
Authentication.AccountRecovery.Action.UseUsernameEmailInstead,Use username or email instead
Authentication.AccountRecovery.Description.AccountSecuredConfirmation,All changes have been removed.
Authentication.AccountRecovery.Description.CannotRecoverAccount,"For your security, a second, different verification method is required to recover your 2-Step Verification enabled account. This account does not have a backup method available for a secure recovery. Please try to regain access to your primary 2SV method, or use a backup code to skip the 2SV challenge."
Authentication.AccountRecovery.Description.ChooseAccount,Choose the account you want to recover.
Authentication.AccountRecovery.Description.CreateNewPassword,Create a strong password that’s different from your old one.
Authentication.AccountRecovery.Description.CreateNewPasswordAddEmail,Create a new password and add an email to help protect your account in the future.
Authentication.AccountRecovery.Description.DeviceDoesNotSupportPasskey,"You're enrolled in the Enhanced Protection Program. To keep your account secure, you'll need a passkey or security key to sign in. This device doesn’t support passkeys, so signing into this device could be challenging. Going forward, you can use Quick Sign-in to use another logged in device to sign in."
Authentication.AccountRecovery.Description.EmailCodeSent,"If a Roblox account exists for this email, you'll receive a verification code. Check all your folders, including spam."
Authentication.AccountRecovery.Description.EmailCodeSentForUser,"We just sent a 6-digit verification code to the email address you provided, if it's associated with your account. Check all your folders, including spam."
Authentication.AccountRecovery.Description.EmailUnavailableInfo,"Some emails may be unavailable because they were altered due to an age change. However, they are still usable for account recovery."
Authentication.AccountRecovery.Description.EnhancedProtectionAddPasskey,"You're enrolled in the Enhanced Protection Program. To keep your account secure, you'll need a passkey or security key to sign in.{lineBreak}{lineBreak}If you're on your personal device, we recommend setting up a new passkey now. This makes it easier to sign in on this device in the future. If you're on a shared or public device, skip this step."
Authentication.AccountRecovery.Description.EnterABackupCode,"Now, enter a backup code you have saved."
Authentication.AccountRecovery.Description.EnterContactMethodAssociatedWithYourAccount,"Enter an email or phone number that may be associated with your account. If you made a purchase before, you can try your billing email."
Authentication.AccountRecovery.Description.EnterEmailAddress,"Now, enter an email address. This could be an email that you've used to buy something on Roblox."
Authentication.AccountRecovery.Description.EnterPhoneBackupCodeOrAnotherEmail,"Now, enter a phone number, backup code, or another email address. This could be an email that you've used to buy something on Roblox"
Authentication.AccountRecovery.Description.EnterPhoneNumberSecondMethod,"Now, enter a phone number that is associated with your account."
Authentication.AccountRecovery.Description.EnterPhoneOrAnotherEmail,"Now, enter a phone number or another email address. This could be an email that you've used to buy something on Roblox."
Authentication.AccountRecovery.Description.InvalidateCredentialInfo,We found a security change you may not have made. Remove it if you don't recognize it
Authentication.AccountRecovery.Description.InvalidateCredentialsIntro,We found security changes you may not have made. Remove any you don't recognize.
Authentication.AccountRecovery.Description.InvalidateCredentialsWarning,Keeping unrecognized changes may put your account at risk. Removing changes can't be undone.
Authentication.AccountRecovery.Description.KeepTwoStepMethodDynamic,You have enabled {twoStepMethod} on your account. Keep it if you still have access to it. We will ask you for it when you sign in again.
Authentication.AccountRecovery.Description.NoChangesMade,Keep your account secure by adding an extra layer of protection.
Authentication.AccountRecovery.Description.PhoneCodeSent,"If a Roblox account exists for this phone number, you'll receive a verification code. Check SMS or WhatsApp."
Authentication.AccountRecovery.Description.PhoneCodeSentForUser,"We just sent a 6-digit verification code to the phone number you provided, if it's associated with your account. The code may be sent via WhatsApp or SMS."
Authentication.AccountRecovery.Description.PlatformNotSupported,Account recovery is not supported on this platform or device. Select Ok to close this window and return to the Sign In page. Please recover your account on a different device. Then choose Quick Sign-in and follow the instructions to securely sign in with the other signed-in device.
Authentication.AccountRecovery.Description.SaveTwoStepMethod,Keep it if you can still access it. We'll ask you to use it when you sign in again.
Authentication.AccountRecovery.Description.SendCodeContactMethodConfirmation,We'll send a 6-digit verification code to the contact method you provided if it's associated with a Roblox account.
Authentication.AccountRecovery.Description.SomethingWentWrongVerifyAgain,"Something went wrong. Press ""Continue"" to try again."
Authentication.AccountRecovery.Description.TrustedLocationResetPassword,"Hi {username}, you're accessing your account from a trusted location. Reset your password now to regain access to your Roblox account."
Authentication.AccountRecovery.Description.TrustedLocationResetPasswordSkip2SV,"Hi {username}, you're accessing your account from a trusted location. You can skip your 2-step verification and reset your password now to complete recovery"
Authentication.AccountRecovery.Description.TrustedLocationSkip2SV,"Hi {username}, you're accessing your account from a trusted location. You can skip your 2-step verification and complete recovery."
Authentication.AccountRecovery.Description.UpdateEmailConfirmation,We noticed that you used a different email to recover your account. We will update your email address to be: {email}
Authentication.AccountRecovery.Description.VerifyAgain,Verify it’s you before recovering your 2-Step Verification enabled account. Press “Continue” to trigger the 2-step verification challenge again.
Authentication.AccountRecovery.Heading.AccountSecuredConfirmation,Your account is secured
Authentication.AccountRecovery.Heading.BackupCodesGenerated,Backup codes generated
Authentication.AccountRecovery.Heading.BillingEmailAdded,Billing email added
Authentication.AccountRecovery.Heading.CannotRecoverAccount,We can’t recover your account
Authentication.AccountRecovery.Heading.ChooseVerificationMethod,Choose a verification method
Authentication.AccountRecovery.Heading.EmailAdded,Email added
Authentication.AccountRecovery.Heading.EnhancedProtectionPostRecoveryPasskey,Is this your personal device?
