Key,Value
Application.Logout.Action.Logout,ลงชื่อออก
Application.Logout.Message.Confirmation,คุณแน่ใจหรือไม่ว่าคุณต้องการลงชื่อออก?
Application.Logout.Title.Logout,
Application.Settings.AccountSettingsTitle,การตั้งค่าบัญชี
Application.Settings.AppSettingsTitle,การตั้งค่าแอป
Application.Settings.DeviceSettings.Title,การตั้งค่าอุปกรณ์
Application.Settings.VR.Comfort.Description,ลดอาการเมาจากการเคลื่อนไหวได้โดยปรับการเคลื่อนไหวและขอบเขตมุมมอง
Application.Settings.VR.Comfort.Profile.Description,"เลือกค่าที่ตั้งไว้ล่วงหน้าหรือเลือก ""กำหนดเอง"" เพื่อตั้งค่าตัวเลือกความสบายแต่ละรายการด้วยตนเอง"
Application.Settings.VR.Comfort.Profile.Option.Comfort,สบาย
Application.Settings.VR.Comfort.Profile.Option.Custom,กำหนดเอง
Application.Settings.VR.Comfort.Profile.Option.Default,ค่าเริ่มต้น
Application.Settings.VR.Comfort.Profile.Option.Expert,ผู้เชี่ยวชาญ
Application.Settings.VR.Comfort.Profile.Title,โปรไฟล์ความสบาย
Application.Settings.VR.Comfort.SafetyBubbleMode.Description,กำหนดว่าใครที่จะสามารถเข้าใกล้คุณได้โดยไม่หายไป
Application.Settings.VR.Comfort.SafetyBubbleMode.Option.Anyone,ทุกคน
Application.Settings.VR.Comfort.SafetyBubbleMode.Option.NoOne,ไม่มีสักคน
Application.Settings.VR.Comfort.SafetyBubbleMode.Option.OnlyFriends,เพื่อนเท่านั้น
Application.Settings.VR.Comfort.SafetyBubbleMode.Title,พื้นที่ปลอดภัย
Application.Settings.VR.Comfort.SteppedRotationEnabled.Description,การตั้งค่าการเคลื่อนที่ที่ทำให้มุมมองหมุนเป็นระยะตามองศาที่กำหนดไว้แทนที่จะหมุนไปเรื่อยๆ
Application.Settings.VR.Comfort.SteppedRotationEnabled.Title,การหมุนเป็นจังหวะ
Application.Settings.VR.Comfort.ThirdPersonFixedCamEnabled.Description,ช่วยป้องกันอาการเมาจากการเคลื่อนไหวที่เกิดจากการเคลื่อนที่ของกล้องอย่างนุ่มนวล โดยกล้องจะคงตำแหน่งไว้ขณะที่คุณเคลื่อนที่ แล้วจึงปรับกลับมาอยู่ด้านหลังตัวละครทันที ใช้งานได้เฉพาะในมุมมองบุคคลที่สามเท่านั้น
Application.Settings.VR.Comfort.ThirdPersonFixedCamEnabled.Title,กล้องมุมมองบุคคลที่สามแบบสบายตา
Application.Settings.VR.Comfort.Title,การตั้งค่าความสบาย
Application.Settings.VR.Comfort.VignetteEnabled.Description,การตั้งค่าความสบายที่ลดขอบเขตมุมมองของคุณระหว่างการเคลื่อนไหว เพื่อป้องกันหรือบรรเทาอาการเมาจากการเคลื่อนไหว
Application.Settings.VR.Comfort.VignetteEnabled.Title,วิกเน็ตต์แบบสบายตา
Application.Settings.VRAccountSettingsExplanation,หากต้องการเข้าถึงความเป็นส่วนตัว การควบคุมความปลอดภัย และอื่นๆ อีกมากมายของคุณ โปรดไปที่เว็บไซต์หรืออุปกรณ์อื่นของคุณ
Application.Settings.VRAccountSettingsSubtitle,ไปที่เว็บไซต์หรืออุปกรณ์อื่นของคุณ
Application.Settings.VolumeSliderDescription,ควบคุมระดับเสียงโดยรวมของ Roblox รวมถึงเสียงเอฟเฟ็กต์เมนู เสียงเกม และเสียงในการแชทด้วยเสียง
Authentication.AccountPicker.Button.CreateAccount,สร้างบัญชี
Authentication.AccountPicker.Button.SignIntoAnotherAccount,ลงชื่อเข้าใช้บัญชีอื่น
Authentication.AccountPicker.Label.AllAccounts,ทุกบัญชี
Authentication.AccountPicker.Label.Manage,จัดการ
Authentication.AccountPicker.Label.ManageAccounts,จัดการบัญชี
Authentication.AccountPicker.Label.RemoveAccount,ลบบัญชีใช่ไหม?
Authentication.AccountPicker.Label.RemoveAccountCancel,
Authentication.AccountPicker.Label.RemoveAccountDescription,คุณจะไม่เห็นบัญชีนี้บนอุปกรณ์นี้อีกต่อไป เว้นแต่จะลงชื่อเข้าใช้อีกครั้ง
Authentication.AccountPicker.Label.RemoveAccountRemove,ลบ
Authentication.AccountPicker.Label.SignedOut,ออกจากระบบแล้ว
Authentication.AccountRecovery.Action.AddAPasskey,ใช่ เพิ่มพาสคีย์ใหม่
Authentication.AccountRecovery.Action.Continue,
Authentication.AccountRecovery.Action.Delete,
Authentication.AccountRecovery.Action.DeleteAll,ลบการเปลี่ยนแปลง
Authentication.AccountRecovery.Action.DontDeleteCredentials,เก็บไว้ทั้งหมด
Authentication.AccountRecovery.Action.Next,ถัดไป
Authentication.AccountRecovery.Action.Ok,
Authentication.AccountRecovery.Action.ResetPassword,รีเซ็ตรหัสผ่าน
Authentication.AccountRecovery.Action.Save,เก็บไว้
Authentication.AccountRecovery.Action.SendCode,ส่งรหัสให้ฉัน
Authentication.AccountRecovery.Action.SkipAddingPasskey,ไม่ ข้ามขั้นตอนนี้
Authentication.AccountRecovery.Action.UpdatePassword,อัปเดตรหัสผ่าน
Authentication.AccountRecovery.Action.UseAnotherMethod,ใช้วิธีอื่น
Authentication.AccountRecovery.Action.UseBackupCode,ใช้รหัสสำรอง
Authentication.AccountRecovery.Action.UseEmail,ใช้อีเมล
Authentication.AccountRecovery.Action.UseEmailInstead,ใช้อีเมลแทน
Authentication.AccountRecovery.Action.UsePhone,ใช้โทรศัพท์
Authentication.AccountRecovery.Action.UsePhoneInstead,ใช้โทรศัพท์แทน
Authentication.AccountRecovery.Action.UseUsernameEmailInstead,ใช้ชื่อผู้ใช้หรืออีเมลแทน
Authentication.AccountRecovery.Description.AccountSecuredConfirmation,ลบการเปลี่ยนแปลงทั้งหมดออกแล้ว
Authentication.AccountRecovery.Description.CannotRecoverAccount,เพื่อความปลอดภัยของคุณ จึงจำเป็นต้องใช้วิธีการตรวจสอบยืนยันตัวตนที่แตกต่างกันเพื่อกู้คืนบัญชีที่เปิดใช้งานการตรวจสอบยืนยันตัวตน 2 ขั้นตอน บัญชีนี้ไม่มีวิธีการสำรองที่พร้อมใช้งานสำหรับการกู้คืนที่ปลอดภัย โปรดลองเข้าถึงวิธีการตรวจสอบยืนยันตัวตน 2 ขั้นตอนหลักของคุณอีกครั้ง หรือใช้รหัสสำรองเพื่อข้ามการตรวจสอบยืนยันตัวตน 2 ขั้นตอน
Authentication.AccountRecovery.Description.ChooseAccount,เลือกบัญชีที่คุณต้องการกู้คืน
Authentication.AccountRecovery.Description.CreateNewPassword,สร้างรหัสผ่านที่คาดเดายากซึ่งแตกต่างจากรหัสผ่านเดิม
Authentication.AccountRecovery.Description.CreateNewPasswordAddEmail,สร้างรหัสผ่านใหม่และเพิ่มอีเมลที่ช่วยปกป้องบัญชีของคุณในอนาคต
Authentication.AccountRecovery.Description.DeviceDoesNotSupportPasskey,คุณลงทะเบียนในโปรแกรมการป้องกันขั้นสูงแล้ว เพื่อรักษาบัญชีของคุณให้ปลอดภัย คุณจะต้องใช้พาสคีย์หรือคีย์รักษาความปลอดภัยเพื่อลงชื่อเข้าใช้ อุปกรณ์นี้ไม่รองรับพาสคีย์ จึงอาจลงชื่อเข้าใช้ได้ยาก ในอนาคต คุณสามารถใช้การลงชื่อเข้าใช้ด่วนเพื่อใช้อุปกรณ์อื่นที่เข้าสู่ระบบอยู่ได้
Authentication.AccountRecovery.Description.EmailCodeSent,หากมีบัญชี Roblox ที่เชื่อมโยงกับอีเมลนี้ คุณจะได้รับรหัสยืนยัน โปรดตรวจสอบโฟลเดอร์ทั้งหมดของคุณ รวมถึงโฟลเดอร์สแปม
