Key,Value
Authentication.AccountRecovery.Label.NewPasswordV2,Новый пароль
Authentication.AccountRecovery.Label.ResendCode,Отправить код повторно
Authentication.AccountRecovery.Label.ResendCodeTimer,Отправить код повторно через {timeLeft}с
Authentication.AccountRecovery.Label.UsernameEmail,Имя пользователя/эл. почта
Authentication.AccountRecovery.LabelEmail,Эл. почта
Authentication.AccountRecovery.LabelPhone,Номер телефона
Authentication.AccountRecovery.LabelTwoStepVerification,Двухшаговая проверка
Authentication.AccountRecovery.Message.Error.AccountNotFound,Аккаунт не найден.
Authentication.AccountRecovery.Message.Error.InvalidCode,Неверный код.
Authentication.AccountRecovery.Message.Error.InvalidEmail,Неверный адрес эл. почты.
Authentication.AccountRecovery.Message.Error.InvalidPassword,Неверный пароль.
Authentication.AccountRecovery.Message.Error.TooManyRequests,Слишком много запросов. Повтори попытку позже.
Authentication.AccountRecovery.MessagePasswordsDoNotMatch,Пароли не совпадают.
Authentication.AccountRecovery.MessageUnknownError,Неизвестная ошибка
Authentication.AccountSwitch.Action.AddAccount,Добавить аккаунт
Authentication.AccountSwitch.Action.CreateNewAccount,Создать новый аккаунт
Authentication.AccountSwitch.Action.LogoutAllAccounts,Выйти из всех аккаунтов
Authentication.AccountSwitch.Action.SwitchAccount,Переключить аккаунт
Authentication.AccountSwitch.Description.LogoutConfirmation,"Нужно будет выйти из других аккаунтов Roblox на этом устройстве, прежде чем добавлять новый"
Authentication.AccountSwitch.Description.PleaseTryAgainLater,Повтори попытку позже
Authentication.AccountSwitch.Description.TryLoggingInDirectly.2,Попробуй войти в аккаунт
Authentication.AccountSwitch.Header.LogoutAllAccounts,
Authentication.AccountSwitch.Heading.SwitchAccount,
Authentication.AccountSwitch.Label.AccountLimitReached.2,"Выйди, чтобы добавить новый аккаунт."
Authentication.CrossDevice.Action.CancelLogin,
Authentication.CrossDevice.Action.ConfirmLogin,Подтвердить вход
Authentication.CrossDevice.Action.Done,Готово
Authentication.CrossDevice.Action.Enter,Ввод
Authentication.CrossDevice.Action.GoBack,Назад
Authentication.CrossDevice.Action.Next,
Authentication.CrossDevice.Action.TryAgain,Повторить попытку
Authentication.CrossDevice.EnterCodeInstruction,затем введи этот код
Authentication.CrossDevice.GoToInstruction,На компьютере или телефоне перейди:
Authentication.CrossDevice.Heading.LoginAnotherDevice,Вход с другого устройства
Authentication.CrossDevice.Heading.LoginCode,Код быстрого входа
Authentication.CrossDevice.Heading.LoginWarning,ПРИ СОВЕРШЕНИИ ВХОДА:
Authentication.CrossDevice.Heading.QuickLogin,Быстрый вход
Authentication.CrossDevice.Heading.Warning,ВНИМАНИЕ!
Authentication.CrossDevice.Label.CodeHeader,Вариант 2
Authentication.CrossDevice.Label.CodeNotVerified,Код быстрого входа не подтверждён.
Authentication.CrossDevice.Label.ConfirmAndLoginAs,Подтверждение входа как %s на другом устройстве
Authentication.CrossDevice.Label.ConfirmOnDevice,ПОДТВЕРДИТЬ ВХОД С ДРУГОГО УСТРОЙСТВА
Authentication.CrossDevice.Label.ConfirmationMessage1,Ты собираешься совершить вход: %s
Authentication.CrossDevice.Label.ConfirmationMessage2,"Это новое устройство получит доступ к твоему аккаунту, Robux и инвентарю."
Authentication.CrossDevice.Label.ConfirmationMessage3,"Подтверди, что это ты."
Authentication.CrossDevice.Label.DevicePrompt,ВВЕДИ КОД НА УСТРОЙСТВЕ С ВЫПОЛНЕННЫМ ВХОДОМ
Authentication.CrossDevice.Label.EnterOtherDeviceCode,Ввести код с другого устройства
Authentication.CrossDevice.Label.InvalidLocationError,"Не удалось соотнести местоположение с устройством, с которого совершается попытка входа. Повтори попытку, используя ту же сеть."
Authentication.CrossDevice.Label.LogginInAs,Вход пользователя %s
Authentication.CrossDevice.Label.LoginInstructions,На устройстве с выполненным входом перейди в
Authentication.CrossDevice.Label.LoginInstructionsV2,Откройте приложение Roblox и перейди:
Authentication.CrossDevice.Label.LoginLocation,"<b>«Настройки аккаунта» > «Быстрый вход»</b>, чтобы ввести код."
Authentication.CrossDevice.Label.LoginLocationV2,"<b>Страница «Ещё» > Быстрый вход</b>, чтобы ввести код."
Authentication.CrossDevice.Label.NotAvailableOnNetwork,В этой сети функция недоступна. Повтори попытку позже.
Authentication.CrossDevice.Label.QrCodeError,"Возникла проблема с отображением QR-кода. Обнови эту страницу или следуй инструкциям ниже, чтобы выполнить вход на другом устройстве."
Authentication.CrossDevice.Label.QrCodeLogin,Вход с QR-кодом
Authentication.CrossDevice.Label.QrHeader,Вариант 1
Authentication.CrossDevice.Label.QrInstructions,"Отсканируй этот QR-код c устройства, на котором выполнен вход."
Authentication.CrossDevice.Label.QuestCDLShortLinkInstruction,"Перейди по адресу <b>roblox.com/quest</b> на компьютере или телефоне, чтобы ввести этот код и завершить вход."
Authentication.CrossDevice.Label.Warning1,"• Вводи только коды, запрошенные тобой."
Authentication.CrossDevice.Label.Warning2,• Никогда не вводи коды других пользователей.
Authentication.CrossDevice.Response.InvalidCode,"Введённый код недействителен. Убедись, что он указан верно."
Authentication.CrossDevice.Response.LoginFail,Не удалось войти
Authentication.CrossDevice.Response.LoginSuccess,Вход выполнен
Authentication.Login.Action.ConnectionError.RetryReady,Повторно
Authentication.Login.Action.ConnectionError.RetryWait,Повторите в: {WaitTime}
Authentication.Login.Action.Continue,Продолжить
Authentication.Login.Action.DownloadNow,Загрузить сейчас
Authentication.Login.Action.EmailACode,Отправить код по электронной почте
Authentication.Login.Action.EmailOtpWaitTime,Отправить код повторно через {WaitTime}с
Authentication.Login.Action.ForgotPasswordOrUsernameQuestionCapitalized,Не помню пароль или имя пользователя
Authentication.Login.Action.ForgotUsername,Не помню имя пользователя
Authentication.Login.Action.LogInEmailOneTimeCode,Получить одноразовый код по эл. почте
Authentication.Login.Action.NeedHelp,Нужна помощь?
Authentication.Login.Action.Next,
Authentication.Login.Action.QQLogin,Вход через QQ
Authentication.Login.Action.QuickSignIn,
Authentication.Login.Action.ResendCode,
Authentication.Login.Action.SendVerificationEmail,Выслать подтверждение по эл. почте
Authentication.Login.Action.SignIn,Войти
Authentication.Login.Action.UsePasskey,Использовать ключ доступа
Authentication.Login.Action.WeChatLogin,Вход через WeChat
Authentication.Login.Button.CloseAndSwitchPlatformAccount,Выполни выход из Roblox для смены аккаунта для {platformAccountName}
Authentication.Login.Button.UseDifferentRobloxAccount,Использовать другой аккаунт Roblox
Authentication.Login.Description.AccountSelectorHelp,Здесь перечислены все твои связанные аккаунты.
Authentication.Login.Description.DownloadNewVersion,"Эта версия приложения больше не доступна в твоём регионе. Чтобы продолжить, загрузи новую версию Roblox."
Authentication.Login.Description.EnterOneTimeCodeHelpV2,"Введи код, отправленный на {email}"
Authentication.Login.Description.GetOneTimeCodeHelp,"Введи адрес электронной почты, подтверждённый на твоём аккаунте, чтобы получить одноразовый код."
Authentication.Login.Description.PasskeyDescription,"На твоём аккаунте установлен ключ доступа — более безопасный способ входа, чем пароль. Ты можешь использовать отпечаток пальца, лицо или блокировку экрана для входа на это устройство."
Authentication.Login.Description.PasskeyLoginIncompatibleDevice,"Мы не можем определить, поддерживает ли твоё устройство ключ доступа. Попробуй ещё раз или нажми «Ошибка входа», чтобы восстановить аккаунт с помощью электронной почты или номера телефона."
Authentication.Login.Error.PasskeyOnlyAccount,Твой аккаунт имеет только ключ доступа для входа в систему. Попробуй войти с паролем или восстановить свой аккаунт.
Authentication.Login.Error.PlatformAccountConnectionFailure,Не удаётся проверить аккаунт. Повтори попытку позже.
Authentication.Login.Heading.IncompatibleAccounts,Несовместимые аккаунты
Authentication.Login.Heading.Login,Вход
Authentication.Login.Heading.LoginRoblox,Вход в Roblox
Authentication.Login.Heading.LoginRobloxAccountSwitching,Войти в существующий аккаунт
Authentication.Login.Heading.NewAppAvailable,Доступно новое приложение
Authentication.Login.Heading.SignIn,
Authentication.Login.Label.AccountSelectorTitle,Выбери аккаунт для входа
Authentication.Login.Label.AgedUpUsername,Добавить уникальный @username
Authentication.Login.Label.ConnectionError.RetryDisabled,"К сожалению, возникла проблема при подключении к серверам.

В настоящий момент повтор подключения недоступен. Повтори попытку позже."
Authentication.Login.Label.ConnectionError.RetryReady,"К сожалению, возникла проблема при подключении к серверам.

Пожалуйста, повтори попытку."
Authentication.Login.Label.ConnectionError.RetryWait,"К сожалению, возникла проблема при подключении к серверам.

Пожалуйста, подожди и повтори попытку."
Authentication.Login.Label.ConnectionError.Title,Ошибка соединения
Authentication.Login.Label.Email,
Authentication.Login.Label.EmailNeedsVerification,Нужно подтвердить эл. почту
Authentication.Login.Label.EnterOneTimeCode,Введи одноразовый код
Authentication.Login.Label.EnterOneTimeCodeLoginHelp,"Введи код, отправленный по эл. почте"
Authentication.Login.Label.EnterYourPassword,Введи пароль
Authentication.Login.Label.ForgotYourPassword,Не помню пароль
Authentication.Login.Label.GetOneTimeCode,Получить одноразовый код
Authentication.Login.Label.LearnMore,Подробнее
Authentication.Login.Label.LinkAccountWarning,"Твой аккаунт Roblox будет связан с аккаунтом на {platform}, и в следующий раз вход будет выполнен автоматически! Ты можешь изменить это в настройках в любое время. Перед тем, как ты сможешь связать новый аккаунт, может пройти некоторое время."
Authentication.Login.Label.PasskeyIncompatible,Ключ доступа несовместим
Authentication.Login.Label.Password,Пароль
Authentication.Login.Label.Phone,
Authentication.Login.Label.QQUserCancel,"Выполнен выход из QQ. Пожалуйста, войди в QQ."
Authentication.Login.Label.TroubleSigningIn,Не удалось войти?
Authentication.Login.Label.UnverifiedEmailInstructions,"Чтобы войти с помощью эл. почты, адрес нужно подтвердить. Можно также использовать имя пользователя для входа."
Authentication.Login.Label.Username,Имя пользователя
Authentication.Login.Label.UsernameEmailOrPhoneNumber,"Имя пользователя, эл. почта или номер телефона"
Authentication.Login.Label.UsernameEmailPhone,Имя пользователя/эл. почта/номер тел.
Authentication.Login.Label.WeChatUserCancel,Сессия в WeChat завершена. Войди снова в WeChat.
Authentication.Login.Label.WeChatVersionNotSupported,Эта версия WeChat не поддерживается
Authentication.Login.QrCodeLoginTitle,"Просканируй QR-код, чтобы войти"
Authentication.Login.Response.AccountNotFound,Аккаунт не найден. Повтори попытку.
Authentication.Login.Response.AlreadyLinked,Этот аккаунт Roblox уже связан с другим аккаунтом на: {platform}. Попробуй войти с другим аккаунтом Roblox.
Authentication.Login.Response.ErrorUseCorporateNetwork,Необходимо подключение к корпоративной сети для входа.
Authentication.Login.Response.IncorrectEmailOrPassword,Неверная эл. почта или пароль.
Authentication.Login.Response.IncorrectOtpCode,Неверный код. Проверь ещё раз и повтори попытку.
Authentication.Login.Response.IncorrectPhoneOrPassword,Неверный номер телефона или пароль.
Authentication.Login.Response.IncorrectUsernamePassword,Неверное имя пользователя или пароль.
Authentication.Login.Response.InvalidEmail,Неверный адрес эл. почты.	
